,,F-value,p-value
白细胞,cluster_4_vs_1,0.525592165874593,0.46930075340026745
白细胞,cluster_4_vs_2,1.4634690626825628,0.22770742128599283
白细胞,cluster_4_vs_3,0.5448035013636112,0.46119154488991965
白细胞,cluster_1_vs_2,0.09043614692189124,0.7644445655040499
白细胞,cluster_1_vs_3,1.1780387418412304,0.2805313509560267
白细胞,cluster_2_vs_3,1.5037354924163842,0.22281463460898762
CRP,cluster_4_vs_1,0.011634249072252663,0.914211552741646
CRP,cluster_4_vs_2,0.3504723722430426,0.5544678773847327
CRP,cluster_4_vs_3,0.5595348416599705,0.45520204815289034
CRP,cluster_1_vs_2,0.15488700553809795,0.6950101750108981
CRP,cluster_1_vs_3,0.2281758545868676,0.633988615814438
CRP,cluster_2_vs_3,0.0029741826367285437,0.9566107293384027
TNF,cluster_4_vs_1,1.3936894405781393,0.2391644403490559
TNF,cluster_4_vs_2,3.1364013923081004,0.07797938026354592
TNF,cluster_4_vs_3,4.120234592372597,0.043509739266063684
TNF,cluster_1_vs_2,0.2664321068815847,0.6072338269288473
TNF,cluster_1_vs_3,0.4500529845686569,0.5039548675391141
TNF,cluster_2_vs_3,0.059509111818971464,0.8077450256513437
PTC,cluster_4_vs_1,1.6832211167503501,0.19596944130965915
PTC,cluster_4_vs_2,3.3941477104507727,0.0668052579707168
PTC,cluster_4_vs_3,1.093559576283382,0.29676751186943967
PTC,cluster_1_vs_2,0.045728316949415704,0.831243085687207
PTC,cluster_1_vs_3,0.1526664647877254,0.6968842306005956
PTC,cluster_2_vs_3,0.5121390829194278,0.4757877891693827
il6,cluster_4_vs_1,3.1109483814286305,0.07927190965758596
il6,cluster_4_vs_2,6.213797378436681,0.01343049628326836
il6,cluster_4_vs_3,0.0782851652041176,0.7798831206489594
il6,cluster_1_vs_2,0.06449711814954072,0.8002101023593355
il6,cluster_1_vs_3,1.1744236568625854,0.2812660282675853
il6,cluster_2_vs_3,2.3927240389916653,0.1248815151835938
il10,cluster_4_vs_1,3.069746435789129,0.0812718620459514
il10,cluster_4_vs_2,6.253879860273054,0.013138499894415184
il10,cluster_4_vs_3,0.0999115854425001,0.752218731342033
il10,cluster_1_vs_2,0.0685306228702081,0.7941965200078798
il10,cluster_1_vs_3,1.132590531300583,0.2899496300380773
il10,cluster_2_vs_3,2.3766887219090087,0.12613848291917587
性别,cluster_4_vs_1,1.1875400545536403,0.27711822398972924
性别,cluster_4_vs_2,2.034014086144061,0.1552642867164552
性别,cluster_4_vs_3,4.724798439615843,0.0307382594077097
性别,cluster_1_vs_2,3.800398329810097,0.05492984811984175
性别,cluster_1_vs_3,0.2978345886442644,0.5865359375444781
性别,cluster_2_vs_3,8.939759036144578,0.003469287413965595
年龄,cluster_4_vs_1,0.0005615723222941753,0.9811171640941252
年龄,cluster_4_vs_2,8.63609026541977,0.0036553569395962834
年龄,cluster_4_vs_3,6.136669433785041,0.013951326565173975
年龄,cluster_1_vs_2,4.14773140527353,0.04517371777031281
年龄,cluster_1_vs_3,2.34800143097045,0.12880250932387113
年龄,cluster_2_vs_3,0.2242884052590973,0.6367655595404962
SOFA,cluster_4_vs_1,18.814956847468324,2.2684622152241853e-05
SOFA,cluster_4_vs_2,6.289459134130192,0.012884821075467767
SOFA,cluster_4_vs_3,0.7065055230901905,0.4014680577541083
SOFA,cluster_1_vs_2,2.7749463824154894,0.09986683442984554
SOFA,cluster_1_vs_3,8.344376510704421,0.004802211865285457
SOFA,cluster_2_vs_3,1.8558167977447981,0.17599609064551486
APACHE,cluster_4_vs_1,4.547152625624886,0.03417493095922488
APACHE,cluster_4_vs_2,1.5894168347465705,0.2087758949910696
APACHE,cluster_4_vs_3,0.25143788717535626,0.6165378663717309
APACHE,cluster_1_vs_2,0.6053084402399687,0.43897515220296035
APACHE,cluster_1_vs_3,2.0330705905532382,0.15722188664997086
APACHE,cluster_2_vs_3,0.42912306925759824,0.5138386387183835
prognosis,cluster_4_vs_1,8.540677677403423,0.003866670269020552
prognosis,cluster_4_vs_2,2.711536611799183,0.10108585219687385
prognosis,cluster_4_vs_3,1.4155276703928972,0.23535185171438813
prognosis,cluster_1_vs_2,1.3013698630136985,0.2575452211726811
prognosis,cluster_1_vs_3,2.816600149663257,0.09661559215343574
prognosis,cluster_2_vs_3,0.24090909090909102,0.6245648893328999
机械通气,cluster_4_vs_1,1.1097643734556584,0.29338544485400814
机械通气,cluster_4_vs_2,1.5462512366570293,0.21504389533417384
机械通气,cluster_4_vs_3,1.698196508581642,0.19381030697444
机械通气,cluster_1_vs_2,0.0009267840593141795,0.9757934543289896
机械通气,cluster_1_vs_3,0.004677547770700637,0.94561838518782
机械通气,cluster_2_vs_3,0.012362957779332868,0.9116768661314939
住院时长,cluster_4_vs_1,0.45310458069174797,0.5016299005592637
住院时长,cluster_4_vs_2,1.3819945380698393,0.24106185422549956
住院时长,cluster_4_vs_3,0.02260753992880833,0.8806122254171732
住院时长,cluster_1_vs_2,3.4352504472921135,0.06769990165916592
住院时长,cluster_1_vs_3,0.2985754702061521,0.5860715219782149
住院时长,cluster_2_vs_3,1.7078094422262804,0.19409790178596334
是否二感,cluster_4_vs_1,1.1947966082808166,0.27565958854111594
是否二感,cluster_4_vs_2,1.5470320172753411,0.21492854043731557
是否二感,cluster_4_vs_3,2.700512204268232,0.10166472581370121
是否二感,cluster_1_vs_2,-7.069884733215609e-32,
是否二感,cluster_1_vs_3,0.024442133131618814,0.8761004649219398
是否二感,cluster_2_vs_3,0.029642058165548053,0.863633194553618
慢性病个数,cluster_4_vs_1,0.8909554090855546,0.3463405782468002
慢性病个数,cluster_4_vs_2,2.160900840660536,0.14302352635180965
慢性病个数,cluster_4_vs_3,1.3660544414996367,0.24368533606370957
慢性病个数,cluster_1_vs_2,3.0967443771182106,0.0824730402091682
慢性病个数,cluster_1_vs_3,2.4141345140900716,0.12360494265614701
慢性病个数,cluster_2_vs_3,0.11024440977639115,0.7405216931953061
入院感染部位,cluster_4_vs_1,16.193942568608104,8.067708796397038e-05
入院感染部位,cluster_4_vs_2,4.669701672728725,0.03180456434950368
入院感染部位,cluster_4_vs_3,0.3465702823979204,0.5566313256943688
入院感染部位,cluster_1_vs_2,1.7699364855328155,0.187368244252488
入院感染部位,cluster_1_vs_3,13.378671203438397,0.0004196376753398167
入院感染部位,cluster_2_vs_3,4.736900618716166,0.031741885568743466
新感部位,cluster_4_vs_1,0.1773203589030708,0.6741317618144869
新感部位,cluster_4_vs_2,0.9219102335134642,0.33805244902858633
新感部位,cluster_4_vs_3,5.804957775979916,0.016757847887306856
新感部位,cluster_1_vs_2,0.15384615384615377,0.6959844185069604
新感部位,cluster_1_vs_3,3.0882581648522542,0.08211496519937599
新感部位,cluster_2_vs_3,1.8970917225950799,0.17130565868966666
BMI,cluster_4_vs_1,0.14821526658646814,0.7006498378014185
BMI,cluster_4_vs_2,1.153361083458006,0.28405048940091104
BMI,cluster_4_vs_3,5.661387875032254,0.018148727008480824
BMI,cluster_1_vs_2,0.26201918023308357,0.6102205522647661
BMI,cluster_1_vs_3,1.8667741122069068,0.17510461459573648
BMI,cluster_2_vs_3,0.7870768074941402,0.37699401075121874
血红蛋白,cluster_4_vs_1,8.310346092021643,0.004366432348419827
血红蛋白,cluster_4_vs_2,4.921529967704083,0.027569881002840357
血红蛋白,cluster_4_vs_3,3.5977428329370142,0.05909490442420788
血红蛋白,cluster_1_vs_2,15.261399865404822,0.00020142023683086062
血红蛋白,cluster_1_vs_3,9.549219461222963,0.0026314690189159894
血红蛋白,cluster_2_vs_3,0.05844654543544995,0.8094353808444178
血小板,cluster_4_vs_1,1.4631703073803561,0.22783314487805767
血小板,cluster_4_vs_2,0.4480399949810744,0.5039853570754012
血小板,cluster_4_vs_3,0.4234520229536481,0.5158607407299886
血小板,cluster_1_vs_2,0.29457680718174545,0.5888905912897197
血小板,cluster_1_vs_3,0.42634843917954596,0.5153800006441587
血小板,cluster_2_vs_3,0.007563442735730788,0.9308609788142926
总胆,cluster_4_vs_1,3.53750965117542,0.06142720042443334
总胆,cluster_4_vs_2,0.2492116172892624,0.6181411755582573
总胆,cluster_4_vs_3,0.4094007128155489,0.5229024741695376
总胆,cluster_1_vs_2,0.876954048372237,0.3520035740493742
总胆,cluster_1_vs_3,1.9962887609158386,0.1609875136539245
总胆,cluster_2_vs_3,1.4995009251138303,0.22346263695373714
间胆,cluster_4_vs_1,0.019250361581797513,0.8897886666094865
间胆,cluster_4_vs_2,0.6924990929257461,0.4062389938107289
间胆,cluster_4_vs_3,0.05226371633080441,0.8193705577503261
间胆,cluster_1_vs_2,0.44206489757856093,0.5081400569710266
间胆,cluster_1_vs_3,0.0008828450013913424,0.9763591712138433
间胆,cluster_2_vs_3,0.8297865222608891,0.3644011297536288
白蛋白,cluster_4_vs_1,0.8384586550471796,0.36092441238573403
白蛋白,cluster_4_vs_2,0.07730747720575913,0.7812471471809717
白蛋白,cluster_4_vs_3,2.8448972329014164,0.09300283466590184
白蛋白,cluster_1_vs_2,0.21495312381531326,0.6442377070670899
白蛋白,cluster_1_vs_3,0.1611421764945192,0.6890182511076867
白蛋白,cluster_2_vs_3,0.7455763883095418,0.3898299664802416
AST,cluster_4_vs_1,0.03160662683797433,0.8590710458461633
AST,cluster_4_vs_2,0.03696800680983499,0.8477116805345317
AST,cluster_4_vs_3,0.3305179946115191,0.5659089360835372
AST,cluster_1_vs_2,0.11817369149652886,0.7319730188646161
AST,cluster_1_vs_3,0.05588621069431444,0.8136346148647007
AST,cluster_2_vs_3,0.8224981409226844,0.36650784791138513
ALT,cluster_4_vs_1,0.3940742236424304,0.530871074652147
ALT,cluster_4_vs_2,0.03127531210714008,0.8597940507703079
ALT,cluster_4_vs_3,0.9454510724956786,0.33188823048116334
ALT,cluster_1_vs_2,0.9928157248687334,0.3222170732993599
ALT,cluster_1_vs_3,1.641802829075379,0.20323019096112285
ALT,cluster_2_vs_3,0.4316097831474731,0.5126239933048073
肌酐,cluster_4_vs_1,22.83567625754482,3.380698197583028e-06
肌酐,cluster_4_vs_2,0.07871668270249794,0.779313900243544
肌酐,cluster_4_vs_3,4.677983927245172,0.031569367848819384
肌酐,cluster_1_vs_2,14.499670476339864,0.00028222433912372636
肌酐,cluster_1_vs_3,32.183925613297966,1.5430245344389588e-07
肌酐,cluster_2_vs_3,2.582491858729653,0.11102628584232153
CRRT,cluster_4_vs_1,20.646307951141267,9.474399886580115e-06
CRRT,cluster_4_vs_2,0.18962028391313265,0.6636696773317166
CRRT,cluster_4_vs_3,1.221962423429191,0.27011599057431807
CRRT,cluster_1_vs_2,9.205939099068868,0.003300844050781777
CRRT,cluster_1_vs_3,22.60330905636478,7.160511105446297e-06
CRRT,cluster_2_vs_3,1.5788824255244143,0.2116838060623482
深静脉置管,cluster_4_vs_1,0.615189646709731,0.4337547650311786
深静脉置管,cluster_4_vs_2,0.4835543788937982,0.4875676267606849
深静脉置管,cluster_4_vs_3,0.24380837822115511,0.6219340605857548
深静脉置管,cluster_1_vs_2,0.017845847150606674,0.8940812044704433
深静脉置管,cluster_1_vs_3,0.11568921232876714,0.7345166420081779
深静脉置管,cluster_2_vs_3,0.0466138962181178,0.829478652445994
入量,cluster_4_vs_1,4.21997682174356,0.041231968223149285
入量,cluster_4_vs_2,11.644227142543242,0.0007694050686833871
入量,cluster_4_vs_3,12.26170978824952,0.0005540182208166764
入量,cluster_1_vs_2,0.4889322360413895,0.48653853778945244
入量,cluster_1_vs_3,0.4042042271062558,0.5264708198490522
入量,cluster_2_vs_3,2.014421415135451e-05,0.996427358076535
出量,cluster_4_vs_1,6.136868636712705,0.014055977829244063
出量,cluster_4_vs_2,1.798380954219219,0.1813233586217559
出量,cluster_4_vs_3,0.0005244505453284321,0.9817489342431516
出量,cluster_1_vs_2,7.424196260740544,0.00798204861921109
出量,cluster_1_vs_3,5.259377828852088,0.024057425083801324
出量,cluster_2_vs_3,1.2260081407451893,0.2706910939518195
血管活性药物,cluster_4_vs_1,0.1965792713699933,0.6579684059567847
血管活性药物,cluster_4_vs_2,1.5831328915246732,0.20967469229232605
血管活性药物,cluster_4_vs_3,0.35452401205454726,0.5521411739868389
血管活性药物,cluster_1_vs_2,0.32500101696294215,0.5702991028733833
血管活性药物,cluster_1_vs_3,0.00020943248253244283,0.9884842628123335
血管活性药物,cluster_2_vs_3,0.42100617828773207,0.5178387183151067
慢性心脏疾病,cluster_4_vs_1,0.11744923972590358,0.732172231130274
慢性心脏疾病,cluster_4_vs_2,0.5257363807339401,0.4691933137771517
慢性心脏疾病,cluster_4_vs_3,0.2449066736740104,0.6211508304921929
慢性心脏疾病,cluster_1_vs_2,0.7462735284517459,0.3903768798475338
慢性心脏疾病,cluster_1_vs_3,0.4444024205748863,0.5066381773197887
慢性心脏疾病,cluster_2_vs_3,0.08660130718954243,0.7691186934436031
慢性肝脏疾病,cluster_4_vs_1,5.573750292822872,0.019179138322847903
慢性肝脏疾病,cluster_4_vs_2,0.9774462140115133,0.3239414342986653
慢性肝脏疾病,cluster_4_vs_3,0.15728738795467515,0.6920293193719802
慢性肝脏疾病,cluster_1_vs_2,2.489496750793409,0.11876191924137425
慢性肝脏疾病,cluster_1_vs_3,4.218121769098219,0.04277149227905878
慢性肝脏疾病,cluster_2_vs_3,0.3318882466281311,0.5657705170620915
慢性肺疾病,cluster_4_vs_1,0.036172315900182585,0.8493501349567859
慢性肺疾病,cluster_4_vs_2,0.37613581591302664,0.5403268303018913
慢性肺疾病,cluster_4_vs_3,2.56908615256094,0.11032540195051321
慢性肺疾病,cluster_1_vs_2,0.09972117434803994,0.7530300685130055
慢性肺疾病,cluster_1_vs_3,1.4228515625,0.23593685315017326
慢性肺疾病,cluster_2_vs_3,0.7845394736842112,0.3777613631652704
慢性肾脏疾病,cluster_4_vs_1,0.93602466007784,0.3344535227231432
慢性肾脏疾病,cluster_4_vs_2,4.375717485226303,0.037628435207288896
慢性肾脏疾病,cluster_4_vs_3,3.44679770485072,0.06463670165910947
慢性肾脏疾病,cluster_1_vs_2,6.574079616881175,0.012320932011834144
慢性肾脏疾病,cluster_1_vs_3,5.355680585683297,0.022833017472310275
慢性肾脏疾病,cluster_2_vs_3,0.27604166666666674,0.6004047770985146
合并症,cluster_4_vs_1,0.13284949956059625,0.7158750770066524
合并症,cluster_4_vs_2,0.04318217918724641,0.8355793214190603
合并症,cluster_4_vs_3,1.2785153852070856,0.25933779191316697
合并症,cluster_1_vs_2,0.2041060839899278,0.6527134563735411
合并症,cluster_1_vs_3,1.1390560827078318,0.2885852498731063
合并症,cluster_2_vs_3,0.4296460971885387,0.5135827457773845
感染部位拼接,cluster_4_vs_1,6.531138655723505,0.011331951528712782
感染部位拼接,cluster_4_vs_2,0.717219966323274,0.39799901192737364
感染部位拼接,cluster_4_vs_3,4.537283599799632,0.034212482236304353
感染部位拼接,cluster_1_vs_2,1.722254503195817,0.19335279619363815
感染部位拼接,cluster_1_vs_3,16.51180254871088,0.00010023984642403293
感染部位拼接,cluster_2_vs_3,6.337352294586423,0.013318441308092342
入量-出量,cluster_4_vs_1,12.356019516837256,0.000542029469656247
入量-出量,cluster_4_vs_2,2.9727331477725585,0.0861160303943277
入量-出量,cluster_4_vs_3,10.266647172438907,0.0015439352075192188
入量-出量,cluster_1_vs_2,2.1219036582482373,0.14932518841315234
入量-出量,cluster_1_vs_3,0.6567706745696177,0.41974933950277105
入量-出量,cluster_2_vs_3,0.7183766093753173,0.39858664103132335
高血压,cluster_4_vs_1,0.868452116399455,0.3524911850789527
高血压,cluster_4_vs_2,0.7559070160041643,0.38558202362433813
高血压,cluster_4_vs_3,0.9785706482451031,0.32357810414912647
高血压,cluster_1_vs_2,1.9901800327332237,0.16240226710485467
高血压,cluster_1_vs_3,2.268965517241379,0.13534121023712678
高血压,cluster_2_vs_3,3.1315743177002765e-32,1.0
糖尿病,cluster_4_vs_1,0.2396888935688244,0.6249595225603019
糖尿病,cluster_4_vs_2,0.13418632543954379,0.7144906111868665
糖尿病,cluster_4_vs_3,0.7539496539501007,0.3861220797633521
糖尿病,cluster_1_vs_2,0.017845847150606695,0.8940812044704433
糖尿病,cluster_1_vs_3,1.1007042988313853,0.2968015435717146
糖尿病,cluster_2_vs_3,0.969057665260197,0.32715693195117224
肿瘤,cluster_4_vs_1,0.1756292095909135,0.6755997555290079
肿瘤,cluster_4_vs_2,0.007151882548028737,0.9326828947201435
肿瘤,cluster_4_vs_3,0.6019979531857057,0.43860355488815783
肿瘤,cluster_1_vs_2,0.07790631995146542,0.7809131456088915
肿瘤,cluster_1_vs_3,0.8469948083067094,0.3597597150362625
肿瘤,cluster_2_vs_3,0.4496007984031938,0.5039828983113268
